Date,ASIANPAINT.NS,BRITANNIA.NS,BZ=F,HINDALCO.NS,HINDUNILVR.NS,JSWSTEEL.NS,NESTLEIND.NS,ONGC.NS,SHREECEM.NS,SUNPHARMA.NS,VEDL.NS
2023-02-21,2709.063720703125,4243.34521484375,83.05000305175781,420.9580383300781,2357.525634765625,705.5426025390625,906.6648559570312,129.04571533203125,26133.08984375,942.160888671875,218.3168487548828
2023-02-22,2688.724365234375,4225.583984375,80.5999984741211,419.2020263671875,2336.819580078125,685.7999877929688,898.2687377929688,128.62701416015625,25821.828125,939.2033081054688,214.91506958007812
2023-02-23,2602.176025390625,4194.48876953125,82.20999908447266,425.7870788574219,2333.63330078125,687.1226196289062,897.0107421875,129.5062713623047,25250.28125,943.0335693359375,214.66700744628906
2023-02-24,2633.477783203125,4186.05517578125,83.16000366210938,405.1050109863281,2327.59033203125,671.1521606445312,898.5933227539062,133.24574279785156,25031.7578125,941.0941772460938,208.67849731445312
2023-02-27,2644.4404296875,4134.890625,82.44999694824219,401.7392883300781,2312.552001953125,666.7431640625,895.7962036132812,133.46067810058594,25260.521484375,935.809326171875,203.64666748046875
2023-02-28,2720.31494140625,4204.1474609375,83.88999938964844,389.4471435546875,2305.5244140625,653.7120971679688,898.0690307617188,130.70977783203125,25696.783203125,927.6152954101562,190.1812286376953
2023-03-01,2731.95068359375,4126.92822265625,84.30999755859375,402.958740234375,2310.77197265625,663.0200805664062,903.304931640625,133.07383728027344,25934.7109375,930.2335205078125,197.44546508789062
2023-03-02,2725.21923828125,4140.49755859375,84.75,400.76373291015625,2300.558837890625,661.4523315429688,889.0137939453125,132.4291229248047,26178.3046875,936.0518188476562,194.82325744628906
2023-03-03,2720.36279296875,4157.22265625,85.83000183105469,406.7146911621094,2315.221923828125,668.5067749023438,887.481689453125,132.6010284423828,25271.212890625,937.6033325195312,204.99319458007812
2023-03-06,2754.6943359375,4070.439697265625,86.18000030517578,404.37335205078125,2328.19921875,660.6195678710938,890.6060180664062,135.99664306640625,25188.025390625,936.0032958984375,203.36318969726562
2023-03-07,,,83.29000091552734,,,,,,,,
